antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({'Brushes', 'Concealer', 'Mascara'})","frozenset({'Eye shadow', 'Nail Polish'})",0.083,0.078,0.05,0.602409639,7.723200494,0.043526,2.318969697
"frozenset({'Concealer', 'Bronzer'})","frozenset({'Eye shadow', 'Mascara', 'Lip liner'})",0.078,0.083,0.05,0.641025641,7.723200494,0.043526,2.5545
"frozenset({'Brushes', 'Eye shadow', 'Mascara'})","frozenset({'Concealer', 'Nail Polish'})",0.083,0.081,0.05,0.602409639,7.437156032,0.043277,2.311424242
"frozenset({'Eye shadow', 'Mascara', 'Lip liner', 'Bronzer'})",frozenset({'Concealer'}),0.081,0.083,0.05,0.617283951,7.437156032,0.043277,2.396032258
"frozenset({'Mascara', 'Concealer'})","frozenset({'Eye shadow', 'Lip liner'})",0.134,0.081,0.074,0.552238806,6.817763037,0.063146,2.052433333
frozenset({'Brushes'}),"frozenset({'Eye shadow', 'Concealer', 'Mascara', 'Nail Polish'})",0.081,0.134,0.074,0.913580247,6.817763037,0.063146,10.02085714
"frozenset({'Mascara', 'Lip Gloss'})","frozenset({'Eye shadow', 'Concealer'})",0.131,0.056,0.05,0.381679389,6.815703381,0.042664,1.526716049
"frozenset({'Eye shadow', 'Concealer', 'Mascara'})","frozenset({'Eyeliner', 'Lip Gloss'})",0.056,0.131,0.05,0.892857143,6.815703381,0.042664,8.110666667
"frozenset({'Eye shadow', 'Concealer'})","frozenset({'Mascara', 'Foundation'})",0.131,0.083,0.074,0.564885496,6.805849352,0.063127,2.107491228
"frozenset({'Brushes', 'Eye shadow', 'Mascara', 'Nail Polish'})",frozenset({'Concealer'}),0.083,0.131,0.074,0.891566265,6.805849352,0.063127,8.014111111
"frozenset({'Eye shadow', 'Concealer', 'Lip liner'})",frozenset({'Eyeliner'}),0.134,0.055,0.05,0.373134328,6.784260516,0.04263,1.5075
"frozenset({'Eye shadow', 'Concealer'})","frozenset({'Mascara', 'Eyeliner', 'Lip Gloss'})",0.055,0.134,0.05,0.909090909,6.784260516,0.04263,9.526
"frozenset({'Concealer', 'Foundation', 'Lip Gloss'})",frozenset({'Eye shadow'}),0.125,0.068,0.056,0.448,6.588235294,0.0475,1.688405797
frozenset({'Lip liner'}),"frozenset({'Eye shadow', 'Concealer', 'Mascara', 'Eyeliner'})",0.068,0.125,0.056,0.823529412,6.588235294,0.0475,4.958333333
"frozenset({'Eye shadow', 'Concealer', 'Blush', 'Foundation'})",frozenset({'Mascara'}),0.093,0.092,0.055,0.591397849,6.428237494,0.046444,2.222210526
"frozenset({'Eye shadow', 'Concealer', 'Blush'})","frozenset({'Mascara', 'Lip Gloss'})",0.092,0.093,0.055,0.597826087,6.428237494,0.046444,2.255243243
"frozenset({'Eye shadow', 'Mascara'})","frozenset({'Concealer', 'Blush', 'Bronzer'})",0.097,0.093,0.056,0.577319588,6.207737501,0.046979,2.145829268
"frozenset({'Eye shadow', 'Concealer', 'Mascara', 'Foundation'})",frozenset({'Blush'}),0.093,0.097,0.056,0.602150538,6.207737501,0.046979,2.269702703
"frozenset({'Eye shadow', 'Concealer', 'Lip Gloss'})",frozenset({'Foundation'}),0.125,0.092,0.069,0.552,6,0.0575,2.026785714
"frozenset({'Eye shadow', 'Mascara', 'Blush', 'Lip Gloss'})",frozenset({'Concealer'}),0.092,0.125,0.069,0.75,6,0.0575,3.5
frozenset({'Eyeliner'}),"frozenset({'Mascara', 'Concealer', 'Lip Gloss'})",0.125,0.07,0.052,0.416,5.942857143,0.04325,1.592465753
"frozenset({'Mascara', 'Eyeliner'})","frozenset({'Eye shadow', 'Concealer', 'Bronzer'})",0.07,0.125,0.052,0.742857143,5.942857143,0.04325,3.402777778
frozenset({'Brushes'}),"frozenset({'Eye shadow', 'Mascara', 'Concealer'})",0.149,0.064,0.056,0.375838926,5.872483221,0.046464,1.499612903
frozenset({'Foundation'}),"frozenset({'Eye shadow', 'Concealer', 'Mascara', 'Lip Gloss'})",0.064,0.149,0.056,0.875,5.872483221,0.046464,6.808
"frozenset({'Concealer', 'Foundation'})","frozenset({'Eye shadow', 'Lip Gloss'})",0.125,0.078,0.054,0.432,5.538461538,0.04425,1.623239437
"frozenset({'Eye shadow', 'Mascara', 'Bronzer'})","frozenset({'Concealer', 'Lip liner'})",0.078,0.125,0.054,0.692307692,5.538461538,0.04425,2.84375
"frozenset({'Mascara', 'Lip liner', 'Bronzer'})",frozenset({'Concealer'}),0.149,0.066,0.054,0.362416107,5.491153142,0.044166,1.464905263
"frozenset({'Eye shadow', 'Concealer', 'Lip Gloss'})","frozenset({'Mascara', 'Foundation'})",0.066,0.149,0.054,0.818181818,5.491153142,0.044166,4.6805
"frozenset({'Eye shadow', 'Eyeliner'})","frozenset({'Mascara', 'Lipstick'})",0.107,0.099,0.058,0.542056075,5.475313887,0.047407,1.967489796
"frozenset({'Eye shadow', 'Mascara', 'Blush', 'Bronzer'})",frozenset({'Concealer'}),0.099,0.107,0.058,0.585858586,5.475313887,0.047407,2.156268293
frozenset({'Mascara'}),"frozenset({'Eye shadow', 'Nail Polish', 'Eyeliner'})",0.149,0.068,0.055,0.369127517,5.428345835,0.044868,1.477319149
"frozenset({'Concealer', 'Eyeliner'})","frozenset({'Eye shadow', 'Mascara', 'Lip liner'})",0.068,0.149,0.055,0.808823529,5.428345835,0.044868,4.451384615
"frozenset({'Eye shadow', 'Mascara'})","frozenset({'Brushes', 'Concealer'})",0.149,0.078,0.063,0.422818792,5.420753743,0.051378,1.597418605
